Parameter,RRC Establishment Success Rate,RAB Setup Success Rate,RAB Drop Rate,CSFB Success Rate,S1_Signal Connection Establishment Success Rate,Intra Frequency HO Success Rate,Inter Frequency HO Success Rate,DR_Interference,Traffic Volume(MB)
W- 27,5,4,387,0,9,1,10,16,173
W- 28,8,6,472,0,14,3,9,14,212
W- 29,2,4,447,1,9,6,13,17,238
W- 30,4,4,459,1,17,6,15,17,292
W- 31,1,0,324,0,4,2,7,16,285
W- 32,5,0,291,0,0,8,15,16,328
W- 33,4,1,418,0,18,11,13,15,438
W- 34,9,0,412,0,9,16,18,14,411
W- 35,16,41,82,23,33,34,49,8,175
W- 36,52,93,126,19,16,50,80,14,319
W- 37,84,129,175,31,38,63,173,16,568
W- 38,79,202,235,45,34,118,203,20,515
W- 39,100,176,277,7,17,55,207,23,601
W- 40,82,115,377,1,42,87,159,18,397
W- 41,118,182,896,5,10,203,286,27,1802
W- 42,132,179,1472,10,36,207,288,33,1800
W- 43,116,180,1246,3,30,263,283,35,2336
W- 44,139,183,1444,1,25,257,269,37,1991
W- 45,169,120,1637,5,24,279,295,73,2005
W- 46,119,60,1368,7,3,219,285,42,2398
W- 47,81,59,100,8,35,65,65,1,96
W- 48,151,84,192,15,43,122,94,3,107
W- 49,166,152,238,11,38,146,117,9,210
W- 50,159,121,210,13,25,132,104,12,320
W- 51,226,174,274,19,22,147,111,12,413
W- 52,63,42,82,3,15,59,77,24,112
W- 01,133,116,146,13,27,104,146,32,175
W- 02,121,93,154,3,15,87,138,30,271
W- 03,129,121,181,9,46,99,147,28,297
W- 04,140,157,241,12,51,158,144,35,414
W- 05,208,165,144,15,28,184,118,59,138
W- 06,233,109,162,31,57,134,120,1183,165
W- 07,175,122,167,29,28,90,121,1106,218
W- 08,183,123,188,17,20,94,122,1082,279
W- 09,46,58,41,7,18,55,78,15,77
W- 10,76,79,63,9,10,77,104,24,85
W- 11,104,115,65,13,19,96,129,15,131
W- 12,111,119,67,11,17,110,126,28,163
W- 13,121,133,96,5,24,121,151,70,219
W- 14,54,45,76,14,42,74,68,394,59
W- 15,75,68,92,20,31,285,84,36,222
W- 16,81,50,71,13,31,65,139,44,74
W- 17,91,80,131,14,55,111,132,61,82
W- 18,140,93,156,20,69,127,145,68,207
W- 19,116,102,143,22,47,102,185,43,150
W- 20,118,111,132,17,72,122,295,46,151
W- 21,96,97,127,17,64,120,327,67,206
W- 22,115,135,125,16,38,308,582,60,203
W- 23,148,171,201,19,86,312,631,66,179
W- 24,143,177,178,25,140,294,663,73,183
W- 25,171,209,165,32,82,328,661,62,192
W- 26,172,225,206,25,67,359,708,63,180
W- 27,194,190,204,30,87,341,711,71,200
W- 28,218,246,191,24,128,354,721,74,189
W- 29,214,290,159,28,101,340,723,60,227
W- 30,220,257,184,26,91,393,770,72,231
W- 31,197,287,184,19,72,368,820,65,221
W- 32,236,277,216,20,127,418,886,79,215
W- 33,206,284,212,23,76,392,893,88,233
W- 34,260,402,235,23,58,478,940,119,285
W- 35,336,511,325,31,88,497,987,92,253
W- 36,367,496,285,20,57,468,988,87,307
W- 37,352,532,295,23,94,483,979,116,306
W- 38,411,545,313,28,88,501,972,107,356
W- 39,504,646,420,20,80,575,1074,113,365
W- 40,528,610,410,24,78,622,1135,108,367
W- 41,524,657,483,24,84,478,944,115,402
W- 42,592,845,551,24,107,566,1112,129,494
W- 43,580,795,609,27,153,563,1115,140,465
W- 44,644,836,639,32,171,547,1041,133,499
W- 45,613,799,583,60,161,493,1097,121,527
W- 46,643,869,561,50,104,539,1114,133,495
W- 47,600,802,505,62,157,580,1128,127,625
W- 48,576,798,477,31,134,496,1061,135,563
W- 49,661,829,562,52,152,575,1085,101,583
W- 50,705,856,562,61,135,530,1088,145,538
W- 51,584,800,456,54,145,487,1093,136,624
W- 52,681,967,580,52,161,528,1130,148,597
W- 01,28,25,36,25,22,37,65,9,32
W- 02,48,47,41,25,66,64,93,16,44
W- 03,56,52,42,28,75,73,90,15,41
W- 04,53,66,46,29,76,63,107,8,52
W- 05,81,45,49,31,58,68,126,12,53
W- 06,88,66,47,30,104,67,121,27,75
W- 07,105,68,46,27,161,73,124,19,84
W- 08,79,69,47,38,94,68,130,20,94
W- 09,106,64,36,27,124,79,151,11,101
W- 10,113,79,43,42,154,96,155,19,100
W-11,86,74,36,29,103,90,165,9,112
W-12,121,114,62,25,126,88,163,13,82
W-13,86,96,61,32,296,94,167,17,94
W-14,95,87,59,34,692,89,181,27,123
W-15,136,138,76,58,661,117,202,12,146
W-16,141,114,73,41,674,102,211,12,115
W-17,136,120,59,349,663,93,199,17,128
W-18,171,184,69,337,686,115,195,37,134
W-19,165,162,95,342,600,130,282,23,120
W-20,203,253,126,370,645,126,313,18,108
W-21,210,333,122,376,719,111,336,26,125
W-22,237,269,83,276,995,109,328,15,122
